ProteinID	GeneSymbol	Description	Before_P1	Before_P2	Before_P3	Before_P4	Before_P5	Before_P6	After_P1	After_P2	After_P3	After_P4	After_P5	After_P6
P00123	GENE123	Protein 123	570621.1963425516	1092467.5291174038	421166.0157149588	89248695.61912465	1384970.5595980978	1302679.9320602566	680728.1585666058	6751606.061832314	4845907.136486226	16860354.908709165	2464236.924221691	114769250.47983252
P00124	GENE124	Protein 124	2319591.2894269438	8174383.805606391	1404589.2413617184	7370753.398324799	3063128.4516870887	19193332.688514255	4117430.353674025	17230873.49938323	985142.4830735147	2535619.2022652095	546291.2312059549	89486941.70647788
P00125	GENE125	Protein 125	2777512.0160224875	923894.395540778	1046998.240989819	29885463.528634652	3261664.6633314257	35893554.99403731	2564493.831077555	2859780.5993692754	27592021.318414375	26153644.587452587	3286564.150593717	1090980.5164652287
P00126	GENE126	Protein 126	9163637.360769471	5135161.069224941	492429.9884048223	4337119.629203067	42670944.81740803	50107974.617646	2542451.0903699845	2688695.3475851845	288092.62875505636	70464093.4218028	36614378.249977276	22514832.325233776
P00127	GENE127	Protein 127	8966321.61129306	4429219.699714532	514970.86421113345	540908.9016057182	1043689.0926483503	9620291.288145838	11151325.784934262	597215.7231240728	14920311.710556732	3365123.771290232	3513041.2965959893	3160172.178884996
P00128	GENE128	Protein 128	2897826.311607083	776485.3678314246	308197.66438268125	3076943.9054902224	5164799.157612392	45976002.9952658	1158283.6584636988	1678711.7985662927	8424134.862699658	21001255.65655396	1595417.9095506675	7770175.191327383
P00129	GENE129	Protein 129	496338.40880242735	884584.2509721515	508927.7197383215	8589555.311467892	163073.4403852521	22951543.53187138	5765735.924935696	10307170.443770872	715983.7719280798	19125853.165597986	1260010.2482182984	1338679.2184261973
P00130	GENE130	Protein 130	27244874.87759146	1829751.8894130562	11334950.528883243	9569171.183943227	2042176.5630713077	5396319.903963387	152012380.5517602	204415.4787875234	7634945.960242383	1121888.9953666609	33164039.813503858	6774086.092590337
P00131	GENE131	Protein 131	96624.12664066916	2133541.6242568525	265736.5243800935	2747762.6856982145	442870.3269766774	5299853.815339926	7670812.484472725	2750954.7284163805	1762576.8329245227	3677368.576208399	564165.8069992515	372371.35848936904
P00132	GENE132	Protein 132	3639633.025386205	1246245.5058566427	512901.0950433813	7294674.755789516	2532250.1429085718	9019968.92483827	2944761.9199149352	2704811.27057094	1749899.7477287308	4266691.356429175	132280.76712680602	5472179.704983372
P00133	GENE133	Protein 133	547976.1178688478	14051820.738831498	3281781.6997109675	17365622.611387044	25289040.040571436	6654080.472936175	910092.7144792791	2573400.6074365913	3263288.973771543	1738958.4207731066	1455304.7787687376	1030578.1929425818
P00134	GENE134	Protein 134	3255696.074241536	536764.037659505	828708.0996437365	5236580.884971723	7509355.803821125	1942738.8536986476	22287382.647987064	3066539.494562381	3737444.8595352443	2947421.7719497476	38302650.517698616	34692809.16727314
P00135	GENE135	Protein 135	1231404.1400013904	2052722.9112358608	9178215.518763037	2289381.5544820824	2366567.1025368627	3366243.677509413	9743211.218781471	26642632.64405414	315902.8113106586	2073457.8734896802	4610864.545681742	5495658.487638074
P00136	GENE136	Protein 136	2111239.7645765534	844910.2788497552	2371673.608060364	2213062.1355230776	554357.648432199	22318111.865034375	19672261.15022023	3302518.9072174216	1925165.4497239057	12298595.235198239	1397515.298644986	4361948.599160588
P00137	GENE137	Protein 137	572627.4360867802	4252122.115302676	2052766.5204382036	9395848.621895934	35836407.08115455	117500656.29444666	43417912.64847654	2036138.8381240452	3965299.0491347066	8946502.03556683	2680885.218230205	4782537.394962694
P00138	GENE138	Protein 138	3535595.614240316	7524632.307429226	498857.3859795811	4992635.721160175	2392240.5479054856	15458788.106495313	5866671.0698769465	9586179.926631313	862442.0630980616	15252053.294128481	7095263.449410092	98119977.4769921
P00139	GENE139	Protein 139	8077670.3506118925	2266533.116949815	675976.4806394905	38070698.32710112	24764721.878282383	131417303.06161316	1375984.2824643326	549827.3410198325	16995840.583729126	48230575.82711995	33328817.086887714	49548343.923060365
P00140	GENE140	Protein 140	24049528.621568974	2812478.033045514	2099289.613252462	702268.5807288606	1300712.555793874	2432798.850387611	3552822.0172221405	1297695.5061956453	1873754.9481083604	1599619.5783687124	432029.7125782657	3332361.8667594166
P00141	GENE141	Protein 141	11136095.08034724	1226385.637820103	423738.43003482826	13565179.375569748	77914757.0255493	591655.9371692023	10295982.123422202	38618149.177735604	419597.22673028795	2173258.9881121423	1184419.1876290322	5399165.750075133
P00142	GENE142	Protein 142	8409126.090285592	694965.1286092685	977684.68476315	9979895.765550714	5231081.572927002	6473302.424270861	2918686.3589852187	3442184.5850015557	1707834.3393618858	1552989.0347657043	2229987.4462302597	12228468.78005707
P00143	GENE143	Protein 143	11506706.694918184	1607313.628463501	149198.0450096155	3898709.3108449904	2382938.424975051	86838389.2387398	1711181.3547640631	3652389.9430694394	9856880.206368513	2314424.734002599	6415447.488689163	11771561.49217272
P00144	GENE144	Protein 144	11536742.319392959	13692355.992279707	1813072.6596628963	608200.5474132887	7616721.399909342	8424799.143887736	7428822.457325876	4019516.4027490015	1099971.4162023077	14081894.287143856	2477773.508901546	2902219.858783395
P00145	GENE145	Protein 145	13311807.452696664	11664190.81543164	22052837.90716993	31735635.363841016	1210737.294703323	15781344.8839174	7499835.90685765	3450912.5703149606	1211446.1566411646	23092081.385300737	1642451.375633154	38164896.97229041
P00146	GENE146	Protein 146	4241070.1993901525	69293438.98505126	23019833.636380922	9601563.172320496	443510.99059490877	11946979.28915878	2109125.763740284	1939782.4704864088	2215670.702788029	3629082.245314773	8237581.651895561	20161007.216860443
P00147	GENE147	Protein 147	908573.0893532252	3572988.305864097	273729.5450422306	1163910.0987741472	8053207.9837987	5404485.035818869	13959976.75568599	8619299.438390536	3334550.0089818793	44025046.26101718	2011417.740432717	26043777.729844015
P00148	GENE148	Protein 148	58391065.81790112	5911520.385872725	6242712.646480826	15680596.993720995	11810821.953542124	25600525.474635582	1563595.7745240037	4613334.90216023	1564955.4278764613	5675389.884490347	19499948.437920425	8904177.707397763
P00149	GENE149	Protein 149	20642966.336045947	347440.9839564207	1032259.5646504409	490038.5779375878	4236644.188128144	12843487.118351372	3556523.201940428	6412916.5396475	3876561.1819042	3904729.765098767	699904.2606326961	2432730.399344066
P00150	GENE150	Protein 150	26407943.1491791	2770100.198054468	2658530.9355604653	18260186.510491475	4492948.950364153	14257422.391431278	3353833.9751570523	62420.21343606991	2633225.3486454943	49707168.33711129	2230851.801697572	29335713.887269896
P00151	GENE151	Protein 151	2665201.1200006283	1485009.2490572738	180639.3549275246	41194715.3275785	28377374.526981432	1589160.1598437019	42709129.26801831	474087.25907793577	2040904.5286818072	123223661.57420631	388475.5867037551	2684831.094622917
P00152	GENE152	Protein 152	3555839.799307954	192444.61211341384	2121092.4312672643	1758254.8582106568	1075749.572812705	11115266.508756801	7770792.54548046	3580511.9180820063	11765749.904973285	16410506.187646678	357149.8865566161	10416542.901068274
P00153	GENE153	Protein 153	9798678.19821662	1428308.9276971044	533026.2716714852	779289.5981311584	1133995.3694501845	8207681.885450704	19254137.73267415	840860.3514707482	5097183.05305617	2494351.279837895	421647.6749635487	1947347.4399759832
P00154	GENE154	Protein 154	2334520.3893088154	1090763.0842201132	6836885.052013881	5834889.194579238	31145579.684586193	32962937.13669731	1262212.1306154823	631910.0737390248	23561711.367024593	1561609.2543286507	3178736.967472775	15758283.210438237
P00155	GENE155	Protein 155	965515.3693218218	13158364.613145217	1511439.4332250196	765383.4767104445	697483.7966870377	2492828.001440346	1681616.0832352042	1680830.259115611	3968529.4756608307	2800374.8724514437	5921997.151853099	2626883.965083831
P00156	GENE156	Protein 156	5103910.795295533	459244.3199551385	29940978.957100183	9906758.950347539	1976781.6156705446	5033879.804274796	1398056.4424879465	14366256.796543527	15720528.956934322	16568727.171495544	391051.72260705684	19111411.273645848
P00157	GENE157	Protein 157	7722357.116259672	8623391.561063068	1587115.7466728804	6850503.879406273	979913.734162884	1366103.63340352	3463129.96657294	796726.8612956466	3058360.8257353227	9787966.905403765	1111916.92738646	752769.0145218167
P00158	GENE158	Protein 158	567817.4949093146	130012.89493042747	3924386.8448215215	5618366.849788868	1511151.0554500786	6413690.142819301	15834428.15407289	1966402.3554510775	1960004.0631863305	468676.55343762	10285347.756778838	4150997.080958242
P00159	GENE159	Protein 159	7979970.482244112	30892408.94727637	2824928.7368013505	2234242.142213967	411784.21085206536	19473655.715594403	520188.329900473	3822325.3130684034	1667157.6165005006	21322697.73858923	12413984.615408259	13838157.97246913
P00160	GENE160	Protein 160	620959.8200966974	14358629.091725383	1604943.0468891512	2842659.5501235384	2996800.776875392	346435.2715584639	3578036.9304948114	3251844.822352888	32659087.881930545	5197062.647105801	2515652.190061649	946749.9855980091
P00161	GENE161	Protein 161	16914430.542209797	266024.60538153007	3073928.443091527	1168516.4970016142	795201.4976259634	23343527.49607647	12267109.948745443	8072728.45024837	11551051.90858411	85017237.81013444	2339801.2495655445	20686491.514205232
P00162	GENE162	Protein 162	1845900.523619347	2043733.4832724622	1557359.8520461647	2045786.0912606032	1224649.6544265144	80784303.56676409	41587180.62969783	9295762.850492932	15899726.708163021	1085371.6533756359	27289270.817855597	15980937.924081171
P00163	GENE163	Protein 163	4143247.8161372645	1185721.5000187794	1611516.8825782367	5730815.912647093	303968.3590274207	1924038.0252791583	3577418.5387822553	880512.0486248335	7710723.8504817905	2050443.8715519446	437122.3492804842	79914998.72678168
P00164	GENE164	Protein 164	9802439.700518716	2301269.7742786068	16338787.643636419	3849882.4595245533	9002048.197557338	630715.2319639031	1983012.8506894233	14834755.942522729	652910.4346192846	4201559.0659327265	191685.8979060419	641864.9333147778
P00165	GENE165	Protein 165	4503721.339367066	886825.6031100372	1888340.5057496561	11301617.465682372	3439176.4918091823	29250989.364831608	2806603.612150701	20982446.02216292	2344204.4580756016	994818.5776347101	565622.1404507249	7164644.606210161
P00166	GENE166	Protein 166	68563351.20298108	741617.637750441	834857.8881801227	13346559.0092425	8858815.847082514	4073689.6477885544	159241.83347326575	7738829.656336758	1102714.1149681776	9165763.019960279	7055796.614997602	14515173.775365787
P00167	GENE167	Protein 167	2681196.7093398278	2102867.2160343584	1164097.9836197817	13959146.638888644	586384.6526481928	24090746.167828795	709957.6638144449	5631275.792490066	722630.9238055279	5689643.958061406	49926442.74383607	4206231.449596518
P00168	GENE168	Protein 168	9312311.482247673	8464771.445389	221062.97521453124	54689136.178758435	1797871.34006363	9659687.871658249	4886675.760202535	47577055.89096221	170718.3548394614	721615.1055309519	1017779.5102710126	1029316.4899302394
P00169	GENE169	Protein 169	5100643.412970697	327193.3392401886	1857430.732952283	5500461.314565022	159340.86910278574	2340917.9911913914	3140443.958656553	11050024.171557648	1615212.1216679872	7001728.219100353	935100.1717337599	15474997.356638445
P00170	GENE170	Protein 170	2361557.6154913516	109925842.65836585	2557621.964240725	12371001.309337625	24415113.550357405	2409741.870983112	8635013.933324225	491442.2551373837	3843318.8756980314	3713074.4666844574	574360.4419974895	44726019.45974186
P00171	GENE171	Protein 171	2278440.4394369656	5753041.154329428	2425794.804096676	132397.9483229616	2524372.9814646086	5195566.61800767	1416988.2165064984	6256770.468393061	5268517.281426622	7151101.070911228	44658057.52032722	26486836.41817663
P00172	GENE172	Protein 172	2543650.4320048993	691275.3785249281	280675.2205203329	1578116.334173028	414480.4167506872	2226656.9589480907	963575.1900447047	4638912.035449369	6455907.010438789	3679837.079915917	11175951.69324269	15324668.586489763
P00173	GENE173	Protein 173	4869579.64468414	1345487.555922197	437575.0713083711	11797878.379040496	2034425.2144448885	34973110.90017378	3343061.0680470075	6450807.217735551	4075108.5643172236	5963874.585717807	14194871.856331563	2733845.2886316273
P00174	GENE174	Protein 174	2323102.453056401	2172696.3975805813	8055260.936709263	55137232.062755466	2708686.074401607	6689325.153394228	15309602.811502429	57045.839581466906	4944430.447745103	18333209.56330155	974927.3251619464	12229871.177181005
P00175	GENE175	Protein 175	3176964.351227627	3175561.533136068	517019.8407309435	2214042.1791991945	13438578.210617041	12046834.204266956	920857.763827263	1242195.1080765014	379476.09300038754	10043938.258892387	2547510.2507844293	11068915.21905443
P00176	GENE176	Protein 176	1554542.6355762826	1785938.4698664432	3558345.054769922	6200985.122236507	4719876.493563755	5562072.948527616	18124684.918420967	12275997.607083589	3992867.2616496035	1267790.031677618	2381425.3537627608	42313779.83211747
P00177	GENE177	Protein 177	1973142.3336597031	959599.0155164545	7173709.405508917	26489043.46257517	6108645.597015787	16357458.888649758	3378787.2469719923	877839.7271181971	13578712.63955944	182538416.06493497	7506882.308143763	16478289.010654228
P00178	GENE178	Protein 178	8330970.795284863	10305481.582244076	4787158.285544636	4750066.448343011	971652.9914756026	927485.6901388981	1448899.177692108	4130619.171259796	6679371.0750104	33550921.471965954	364396.0809932071	13987114.132670758
P00179	GENE179	Protein 179	13461686.92730549	5355914.398499434	155319.88834005108	4105636.3275948274	23099963.760965955	1739903.34616252	1453394.4823234899	9414546.837734723	483811.4861700952	470334.6480241148	3372770.74503321	1648633.7713940442
P00180	GENE180	Protein 180	4586062.013609504	571642.3596376748	3009870.79554934	12028871.106716583	2394520.3994339807	3415702.4353497834	6709224.885114172	706530.0561190494	1361494.8975920582	5853808.628493991	2635016.2547049425	5152681.07784527
P00181	GENE181	Protein 181	1790471.3299476625	974787.8472322698	1657914.4329511933	16204322.091572791	1440188.8506465156	6060418.874435344	4508499.655767253	6730129.258901465	298692.82966217014	22405806.113326877	2440699.3301254786	3339085.6278490257
P00182	GENE182	Protein 182	1201816.2347145777	187703.97598169907	9329683.306664476	25215204.697995495	11795426.474305231	12401851.337142851	207286521.41841915	11006150.144600457	9054279.968889212	117008004.3268158	1631067.5765397854	4632102.174957243
P00183	GENE183	Protein 183	11914601.767895613	1204672.1482479968	69341206.35282624	39143504.84786938	616124.9852750205	11515767.055124188	18371364.884538118	1186250.2555651795	383786.08773101255	7900346.184231485	27593088.759310905	490974941.74996597
P00184	GENE184	Protein 184	3341699.484883001	1468774.0010565582	18542601.723302122	20275708.320380192	25885411.21448361	11581074.92065177	1073173.746789812	267837.84907257697	687367.6282632406	1168199.681671651	8029136.1907306565	3149772.997249271
P00185	GENE185	Protein 185	1855528.1730199577	4211982.927511832	3317528.67618714	28487216.36767544	7457617.862318807	144651471.94198358	29685828.235409375	674698.4008266297	16908821.50570268	6910136.329396555	2155370.650540908	2443852.0862923125
P00186	GENE186	Protein 186	3695107.7439069706	1535488.9797875255	2012394.7828237168	5611146.021232781	9165037.685238006	58850791.73168199	1341846.1816968422	550425.9143392213	2804409.0101842475	6580906.223488291	3869576.6503106337	5573920.009370146
P00187	GENE187	Protein 187	4873763.025893362	12623339.772692703	814576.0450252814	23177397.614753705	2314544.2049199324	2080791.9571881322	10124014.031708451	550124.7429371619	2209695.75122819	1646460.6079996924	24316523.53536594	6944060.22955443
P00188	GENE188	Protein 188	6785038.653430557	1650621.4457040068	1231067.8883624007	21900589.23622812	1445845.7951303914	16642860.006140346	21172102.903558407	9589744.867123557	1952085.8814405403	9918721.351435805	37038462.717321046	1065536.765622817
P00189	GENE189	Protein 189	7489294.232920587	3608788.558785071	2512230.5319247106	1243041.519910145	5190071.889699567	3609368.409115335	2609555.078176484	487365.3707723853	554995.7829699343	11115644.705338564	33144028.959884197	1862021.0984203147
P00190	GENE190	Protein 190	6082119.012120874	867677.5729795471	2902607.4979368555	10564182.411193598	1326741.6485578034	20875398.7832256	3809905.042148798	7465818.6574163055	1260618.2919094288	5742426.804099915	1603163.298412993	2242910.9464749293
P00191	GENE191	Protein 191	11441831.785866104	681485.0692740873	2998881.8771290635	9291619.916738715	5619060.329931647	10471266.844478773	2165313.0527888	1177535.8786252798	231726.34551406436	4441859.4591797525	5317986.976392354	6159790.865989754
P00192	GENE192	Protein 192	18421330.74757238	9462686.411382273	11847754.512035636	2580823.8098020144	15349396.646184366	4054242.3042277005	6175604.275405972	1921456.1781843728	899652.211110513	9516520.546550673	3551286.2593707526	73054222.55280343
P00193	GENE193	Protein 193	14083414.214414045	3112553.673045224	349680.29318180785	62381850.22591713	1118882.7391851714	2532178.2582942466	1305873.6699612942	2321208.2563342326	412248.7439602058	1568331.916412977	8927028.343997708	12031164.398998763
P00194	GENE194	Protein 194	1175954.697780372	2201234.0686738244	818253.0352289103	8405874.917560013	10072112.055900099	78845.9521804966	1408370.1207859607	39590587.45582876	27292441.2553333	1166048.902236397	3225692.044186821	4680176.455563397
P00195	GENE195	Protein 195	607443.6273633622	2619775.277711662	5837944.459369242	47790590.43758648	707351.0409388847	5400913.831373367	16288532.670628918	3303434.1284883656	1279208.1107415617	1392219.245282068	34905668.41619782	12563884.731358578
P00196	GENE196	Protein 196	1483624.317297839	5582117.127607486	1195401.2736200094	1810457.469752848	14100356.628150908	52211719.66056361	21106121.059277162	1775689.7904369317	1533286.9047126109	1323354.5724373285	1950028.1350557967	6330288.11486489
P00197	GENE197	Protein 197	714533.2406825533	2675226.4135131887	5471570.735322575	1941212.7327299288	3391857.503301307	24075314.350107428	47724480.6905437	1494272.3116078335	1260719.7003414796	1238935.1007222543	3043058.132842914	43987398.319722734
P00198	GENE198	Protein 198	1085722.755022792	2920991.2583828564	1828214.6705653972	3704360.564217026	1044677.6991404889	66015223.435902216	1960645.1511170254	1619121.919008465	1158221.801265537	3605077.89062244	11636072.817844177	3862401.8749024165
P00199	GENE199	Protein 199	1095709.4141187035	19562344.404886253	26756017.11815664	2141792.8593184124	2739273.091981009	1809995.6464968184	509788.12847548665	2619076.489451282	548898.6655392036	13912352.690423017	761148.0527140155	3638572.5358044943
P00200	GENE200	Protein 200	7594169.955601388	6801356.0121343825	642759.8184917625	11277171.602930445	973130.6229926147	10794728.851025036	2044031.6040590876	38793414.91020132	4039926.976114172	1447985.0475584245	2705669.51921838	11562284.562019411
P00201	GENE201	Protein 201	4726554.363111107	7715278.886271899	3596631.70873912	3541931.942422462	2069493.790187416	87790185.94179109	27284900.40225868	1705563.2602720025	5087196.006723528	24938449.465085275	349348.7645178061	3221661.0038766465
P00202	GENE202	Protein 202	9500850.373548968	600954.6303285907	15103124.587541224	26204278.728726983	5896758.903637414	28082078.014553312	557644.8287395594	855831.0127457689	251545.79486336882	25726114.50779988	1688164.7181863848	34407979.5109967
P00203	GENE203	Protein 203	9413657.179726906	994652.9277303007	925250.128748544	10897765.74134445	1666946.018252855	21548504.321711164	1833830.964651805	694713.3445995463	2131573.382119781	5647432.998800913	2933394.247719285	1564969.6315001962
P00204	GENE204	Protein 204	802927.6135195576	3378603.154511088	3904266.06734355	11508758.664969178	5586276.85661896	4743355.602665074	45011972.92210577	1296088.6041517416	2636110.7195904586	8436887.582645379	12417163.694776276	21098931.033440292
P00205	GENE205	Protein 205	377799.97815858905	10691324.48299056	800781.360291004	3331960.492683128	18149651.37738434	12197719.071951183	8827928.353980985	1600710.5515395387	19642442.193640996	18401867.778183915	3398415.9994947338	113019791.11028892
P00206	GENE206	Protein 206	3630776.122451085	1738158.8871492532	106425.32639300333	4202867.253058408	2144828.0184732415	81676927.0420362	8743297.607575554	909772.7237723776	15927836.324364569	16974973.557874523	1428173.1014020278	8583442.989519585
P00207	GENE207	Protein 207	395408.64282153774	8573885.285033308	3997098.6280230773	2289718.4719515955	1852448.881012908	2049736.340802077	31566173.725581776	13460937.104452804	4582768.424680484	3032498.6426364086	188097.3193109704	474019.70716378425
P00208	GENE208	Protein 208	2492516.108335554	7306605.563359182	1031010.6196859468	15572115.603227517	3711667.30194982	1219543.2372520124	2067415.5276855878	1003500.0302623558	6790434.836937658	3726117.2266514855	708681.3742887697	13981219.05605328
P00209	GENE209	Protein 209	4777952.650054055	600852.5929107983	54096970.66605233	8387669.426057548	24740500.112202693	670004.9759703326	16534475.004069163	10425255.213614503	1548869.1453942459	8183482.453729934	9889501.372619394	3265217.159737896
P00210	GENE210	Protein 210	8235178.97353832	29912612.46360027	4968088.125939428	44133282.11208699	8329022.567593172	2311939.9373265076	7326621.1288895365	4585672.649031388	3462400.2002814156	1012802.5131577401	1241073.1036124886	21561286.445659738
P00211	GENE211	Protein 211	598191.1552827667	402858.75850537774	634305.5563734132	411307.53141670313	2421397.693722335	35110729.71067764	902352.0118970294	571585.5079582299	1359096.6004582145	34294444.841838844	3070408.545413808	30427691.240481213
P00212	GENE212	Protein 212	3725647.3815596304	2793068.558726047	421896.30294800585	3955864.0558659877	137152.8703417021	43866540.07830573	9441119.048605565	1441904.4733479114	7854980.631925879	5871564.448814677	10308226.967315674	9427991.088057896
P00213	GENE213	Protein 213	1196930.3947137804	305578.01223111735	5701090.312148799	3467629.893635085	2343173.6912443624	36547278.120295465	12169788.94979981	2919359.740978106	1104727.500919445	6604907.751672025	129949.30974676332	44882260.73013479
P00214	GENE214	Protein 214	751823.6222503739	2771489.268718879	18780930.954712898	14366468.40394665	28639273.0124353	36687091.48896558	37651732.264403	8563557.966973133	4548104.834400524	20555561.958737347	909124.4352522177	809329.5390045469
P00215	GENE215	Protein 215	6763110.487963866	4630561.422848329	1872230.8746903492	4542977.303653576	28379943.385847326	2272930.7807916105	5087495.4286390385	246724.0446583097	1726268.999949626	17734561.9864278	5246996.927812669	8373691.37358274
P00216	GENE216	Protein 216	28731969.289520685	7041116.745169704	4155691.3264021766	4146907.6658766395	7243726.603300814	22276634.05444796	55003298.204898536	444072.0820335285	2018046.093331973	7912155.768734043	15085781.996662026	59340140.819441244
P00217	GENE217	Protein 217	48434107.35415145	6417239.496647973	1974644.8204426642	2153099.4517241176	3145290.5015922966	11748406.572427839	3668574.5345230475	3222274.3887934675	421491.3244831852	3678482.673217891	48743317.13291515	2093627.7703906493
P00218	GENE218	Protein 218	3311375.606384559	59663313.827505246	1003893.3343490853	9928335.033189533	2247653.153856575	40982270.062492706	576606.3333930407	1695448.4437004926	36312092.92786701	18159983.749723	7679380.447339839	33652268.16162272
P00219	GENE219	Protein 219	9361624.670079002	2193556.710726076	1275987.5765802162	174355.32586468433	2372824.4319693837	89031870.21724561	1069844.5613581238	4351246.945290246	3676964.514228592	8975378.329426443	3815313.431941568	579926.9205944283
P00220	GENE220	Protein 220	453212.17692036624	846066.1143503722	1920322.7587541742	26193277.847090762	12071024.169360604	1033824.503371145	3534600.134843904	13770730.853225186	24626041.69747279	175656.6485735076	1968098.5042356895	12939012.352146355
P00221	GENE221	Protein 221	1777711.5811839127	2368537.294926101	5361970.062743511	12482265.69723566	1202661.8161983069	14131756.099541757	215644.00563923808	199319.00844349636	5434755.463104397	8192361.11674415	69753472.38722336	17716099.46231384
P00222	GENE222	Protein 222	1703319.5029969194	829514.3334829359	5298829.581033805	22547535.68227856	15011287.646110153	19605047.391627632	2482037.8489927044	3320677.7373184282	1210890.0494264327	5980241.39026995	219221.37519449447	3770643.946857294
P00223	GENE223	Protein 223	20062537.401005894	8361323.895267036	5522352.274629036	19577601.03938671	355367.4408402164	6042122.567762717	13820250.041664863	6953438.578712227	1102147.7370593955	12854484.99721262	2229646.9334634417	640538.9890005799
P00224	GENE224	Protein 224	13171208.66164648	2858021.1432192796	9739453.427277206	27514430.08063203	1026832.3043797087	11997916.129725495	1701945.2932817335	86460274.19589551	7595453.094761297	12950265.334124424	510949.80174346763	25605515.51896557
P00225	GENE225	Protein 225	3732406.5513482564	604426.5488916438	99468293.05916792	89229239.83066063	39453593.77519883	674288.2736533128	13710544.129464462	587535.835415095	748285.3738753692	3513443.4138009273	11248798.732114716	3568811.5162587143
P00226	GENE226	Protein 226	12496994.958318012	2612121.5262649585	250739.21714022252	1824087.5472460783	1079356.9214243556	41407073.34617462	12663466.666875638	20917012.10632769	730145.405590461	8645558.877157308	36231795.9424593	16085258.347629922
P00227	GENE227	Protein 227	747821.389905267	2614241.8283522734	741150.3114960793	18632701.812493794	9199445.406608364	23846484.43553125	1079088.889891572	4774150.058064968	13046149.078950206	2804032.7324896376	1878476.01503398	30227288.140608996
P00228	GENE228	Protein 228	4447815.814982125	3560294.9619861776	43168549.376076795	20942929.74004033	12893478.688037211	3629825.395726445	1742670.1426967462	307380.69983317115	64687910.709843926	1762754.1681319673	1784427.5484468788	14786220.144040303
P00229	GENE229	Protein 229	4313322.701014162	8218375.590973141	3855202.9293312803	3173040.0067186058	140176.51517745026	1727778.9777918754	1299414.4495202552	1212253.120186924	1574972.0013219179	3695379.990943679	7067156.808028497	13219512.625987243
P00230	GENE230	Protein 230	17830491.32663535	7306894.36477625	42997841.04513894	51629894.70459252	17410282.171211198	14145202.795588663	15126761.617327914	7525708.168738967	2587763.0145645407	5911924.750847673	4567836.321490211	62743379.105340295
P00231	GENE231	Protein 231	996584.4157487345	805198.4865572425	2592602.922116272	29274931.219752196	4051098.261578929	40254998.1233758	1091640.6121180372	4406177.254441448	919125.0268551974	7245099.392363296	2580046.390697434	2541059.004156715
P00232	GENE232	Protein 232	15795557.966517655	25574326.551743735	1693430.037759648	5797856.163606564	24342720.530336335	75969038.05850433	16596223.810635619	3157662.581251465	6912475.50087066	2343321.116281335	9453943.598161953	1428160.474630048
P00233	GENE233	Protein 233	1107934.5508140954	27508782.31506471	584750.6003350338	3386918.5703165266	2540486.517381133	14553494.547495767	32195609.432563443	2978075.6389927226	1565185.4092963457	10722744.793278975	4250138.927934141	92390250.2247893
P00234	GENE234	Protein 234	689775.5091000285	262530.1269766227	4058054.6649283716	404977.19031574717	2414716.0778986053	1671056.2448864158	806137.2315041673	5565096.464283512	5352816.143603111	64917374.342893995	29432.927700207787	3002139.5402653324
P00235	GENE235	Protein 235	34892619.64107358	1566251.8310143652	149479713.92906383	2242696.4585676393	2239197.1482867794	1564554.036857267	915358.1493119393	3013697.8392337714	5217580.732142272	748108.1300257999	6380513.327942791	3573074.8648125473
P00236	GENE236	Protein 236	1314116.0214908014	914210.5463878688	5038262.2074087	13827229.627240589	1531740.3830495114	2363909.0987333185	25307940.670025345	3614794.737961898	11408777.6903098	6247569.361082969	2317838.540354605	9294908.032503702
P00237	GENE237	Protein 237	1270784.3011160088	1283728.6957745005	5113692.604553547	12949352.402481478	847197.1209267722	4781215.83094088	15277698.541960401	3573149.0696475212	3339235.0993646053	6172955.169925461	533024.3642018038	8867001.22910058
P00238	GENE238	Protein 238	8610312.66926099	4491095.520920831	562683.7336771308	15199235.672491608	1755719.8745177207	43779891.17192452	3149570.989207973	414746.65953035967	24550326.11679555	2003266.2758484625	902915.8474151783	118228689.17260636
P00239	GENE239	Protein 239	9288149.449060418	547100.633208503	2052104.9927478987	1637374.3043458415	609630.5574934811	86060878.24767473	132766232.45232591	1444111.0692550128	6936898.520571358	1800701.2708564864	430880.7956081327	6378603.9894087
P00240	GENE240	Protein 240	679430.0904801857	39196554.906752154	5438615.202061899	5378575.493997288	896075.405992494	58265121.129895754	2060302.3573055533	2175546.8094295803	2163790.909887079	3244910.277008026	2566341.2258736244	3140969.655839264
P00241	GENE241	Protein 241	3467252.1603071424	524754.8362967903	4130301.2243102468	614134.8758938682	1093081.1685876697	87533970.01868343	1552260.2803702082	1536812.5795887196	2641054.4299467728	3330998.464590766	3433351.9835581053	1523606.49865351
P00242	GENE242	Protein 242	36290274.61222479	556122.8347298224	781563.4423032022	60182028.8945298	554237.042072142	3868459.2483589198	3445170.636148039	468708.25017581356	12897477.923627207	31179784.535061404	6710035.827910406	108182578.05719678
P00243	GENE243	Protein 243	38091947.444187514	3550722.088504553	12436373.539822869	2078150.5950097465	1833127.8224881701	69610439.76680706	7481033.747584043	10863685.480015473	778058.4657024073	5391486.812085954	16411420.850902235	6085783.22600964
P00244	GENE244	Protein 244	995226.0327700777	898612.6739545193	3576571.2494718484	76079130.24050799	8191300.000560115	1131274.473394886	69066965.79680723	1141456.9750512259	265486.77985716646	22999846.899328228	9098436.697927011	1226722.2699187787
